Shipment_ID,Product,Origin,Destination,Carrier,Spoiled_Flag,Departure_Time,Arrival_Time
SHP-42008,Insulin Glargine,Delhi,Chennai,Delhivery,0,09/06/2025 00:00,2025-06-10 18:00:00
SHP-77946,Insulin Glargine,Mumbai,Chennai,FedEx,0,06/02/2025 00:00,2025-02-07 03:00:00
SHP-43541,Amoxicillin,Hyderabad,Bangalore,Shadowfax,0,2025-01-28 00:00:00,2025-01-28 22:00:00
SHP-82744,COVID-19 mRNA Vaccine,Mumbai,Bangalore ,BlueDart,0,11/10/2025 00:00,2025-10-12 21:00:00
SHP-94393,Humira (Adalimumab),Mumbai,Bangalore ,BlueDart,0,2025-03-20 00:00:00,2025-03-22 09:00:00
SHP-52250,Insulin Glargine,Chennai,Hyderabad ,,0,14/06/2025 00:00,2025-06-15 08:00:00
SHP-53067,Humira (Adalimumab),Chennai,Mumbai,BlueDart,0,2025-07-06 00:00:00,2025-07-08 02:00:00
SHP-67355,COVID-19 mRNA Vaccine,Mumbai,Chennai,Shadowfax,0,2025-06-14 00:00:00,2025-06-14 17:00:00
SHP-37651,COVID-19 mRNA Vaccine,Mumbai,Hyderabad,FedEx,0,29/11/2025 00:00,2025-11-30 08:00:00
SHP-66976,COVID-19 mRNA Vaccine,Mumbai,Chennai,FedEx,0,2025-12-09 00:00:00,2025-12-11 21:00:00
SHP-38219,Insulin Glargine,Bangalore,Hyderabad,Delhivery,0,2025-06-24 00:00:00,2025-06-26 12:00:00
SHP-26377,COVID-19 mRNA Vaccine,Chennai,bangalore,FedEx,0,28/11/2025 00:00,2025-11-28 22:00:00
SHP-83869,Insulin Glargine,Mumbai,Chennai,DHL,0,04/08/2025 00:00,2025-08-05 15:00:00
SHP-40918,COVID-19 mRNA Vaccine,Delhi,bangalore,Shadowfax,0,2025-03-19 00:00:00,2025-03-20 16:00:00
SHP-39970,Humira (Adalimumab),Delhi,Chennai,Delhivery,0,2025-01-14 00:00:00,2025-01-14 20:00:00
SHP-67630,Humira (Adalimumab),Bangalore,delhi,DHL,0,2025-11-02 00:00:00,2025-11-04 13:00:00
SHP-44137,Amoxicillin,Bangalore,Hyderabad,DHL,0,2025-04-03 00:00:00,2025-04-05 12:00:00
SHP-66182,Humira (Adalimumab),Hyderabad,Delhi,DHL,0,2025-08-19 00:00:00,2025-08-21 09:00:00
SHP-16099,Amoxicillin,Hyderabad,Hyderabad,BlueDart,0,2025-09-12 00:00:00,2025-09-13 23:00:00
SHP-83261,Humira (Adalimumab),Hyderabad,Mumbai,DHL,0,2025-09-19 00:00:00,2025-09-21 06:00:00
SHP-90805,Insulin Glargine,Bangalore,chennai,BlueDart,0,2025-07-30 00:00:00,2025-08-01 17:00:00
SHP-83894,Humira (Adalimumab),Bangalore,Mumbai ,FedEx,0,2025-08-30 00:00:00,2025-08-31 08:00:00
SHP-48112,Amoxicillin,Bangalore,Mumbai,BlueDart,0,2025-07-08 00:00:00,2025-07-08 12:00:00
SHP-84489,Amoxicillin,Delhi,Hyderabad,DHL,0,2025-12-18 00:00:00,2025-12-18 23:00:00
SHP-16357,COVID-19 mRNA Vaccine,Bangalore,delhi,Shadowfax,0,2025-03-31 00:00:00,2025-04-01 00:00:00
SHP-56156,Insulin Glargine,Delhi,Bangalore ,Shadowfax,0,2025-06-09 00:00:00,2025-06-11 00:00:00
SHP-72604,Humira (Adalimumab),Hyderabad,hyderabad,FedEx,0,27/11/2025 00:00,2025-11-29 22:00:00
SHP-76004,COVID-19 mRNA Vaccine,Hyderabad,Bangalore ,DHL,0,2025-08-26 00:00:00,2025-08-28 20:00:00
SHP-46241,Humira (Adalimumab),Hyderabad,Mumbai,BlueDart,0,24/05/2025 00:00,2025-05-26 21:00:00
SHP-46615,Humira (Adalimumab),Mumbai,bangalore,Shadowfax,0,2025-11-27 00:00:00,2025-11-27 12:00:00
SHP-64987,COVID-19 mRNA Vaccine,Mumbai,Delhi,Delhivery,0,2025-02-17 00:00:00,2025-02-18 04:00:00
SHP-90702,COVID-19 mRNA Vaccine,Chennai,hyderabad ,DHL,0,2025-12-17 00:00:00,2025-12-18 21:00:00
SHP-63209,COVID-19 mRNA Vaccine,Chennai,Delhi,DHL,0,2025-03-30 00:00:00,2025-03-30 18:00:00
SHP-14412,COVID-19 mRNA Vaccine,Chennai,Delhi ,Delhivery,0,2025-02-13 00:00:00,2025-02-14 17:00:00
SHP-11478,COVID-19 mRNA Vaccine,Mumbai,Hyderabad,Shadowfax,0,19/09/2025 00:00,2025-09-20 17:00:00
SHP-91897,Humira (Adalimumab),Mumbai,Delhi,Delhivery,0,2025-02-17 00:00:00,2025-02-17 14:00:00
SHP-11826,COVID-19 mRNA Vaccine,Chennai,Chennai,FedEx,0,2025-12-31 00:00:00,2026-01-02 13:00:00
SHP-44442,Insulin Glargine,Chennai,Chennai ,BlueDart,0,2025-01-27 00:00:00,2025-01-27 12:00:00
SHP-77114,Amoxicillin,Bangalore,Chennai,BlueDart,0,2025-12-02 00:00:00,2025-12-03 19:00:00
SHP-26755,COVID-19 mRNA Vaccine,Chennai,Bangalore,Shadowfax,0,2025-12-30 00:00:00,2025-12-31 14:00:00
SHP-53303,COVID-19 mRNA Vaccine,Bangalore,Delhi,Delhivery,0,2025-06-18 00:00:00,2025-06-19 13:00:00
SHP-31425,Humira (Adalimumab),Delhi,Hyderabad,DHL,0,2025-11-20 00:00:00,2025-11-22 04:00:00
SHP-69632,COVID-19 mRNA Vaccine,Mumbai,Hyderabad,DHL,0,09/08/2025 00:00,2025-08-10 16:00:00
SHP-54299,COVID-19 mRNA Vaccine,Chennai,Bangalore,DHL,1,2025-04-07 00:00:00,2025-04-09 04:00:00
SHP-53881,COVID-19 mRNA Vaccine,Mumbai,Hyderabad,FedEx,0,2025-06-28 00:00:00,2025-06-30 22:00:00
SHP-34130,Humira (Adalimumab),Mumbai,Chennai,FedEx,0,2025-02-06 00:00:00,2025-02-06 12:00:00
SHP-41045,COVID-19 mRNA Vaccine,Mumbai,Delhi,DHL,0,02/09/2025 00:00,2025-09-04 01:00:00
SHP-83611,Amoxicillin,Delhi,hyderabad,Shadowfax,0,2025-01-18 00:00:00,2025-01-20 02:00:00
SHP-93498,Humira (Adalimumab),Hyderabad,Hyderabad,FedEx,0,2025-04-11 00:00:00,2025-04-12 22:00:00
SHP-77065,Amoxicillin,Chennai,Mumbai,FedEx,0,2025-01-11 00:00:00,2025-01-13 19:00:00
SHP-47655,Humira (Adalimumab),Hyderabad,mumbai,BlueDart,0,2025-01-07 00:00:00,2025-01-08 15:00:00
SHP-73898,COVID-19 mRNA Vaccine,Hyderabad,Mumbai,BlueDart,0,2025-01-28 00:00:00,2025-01-30 15:00:00
SHP-29023,Amoxicillin,Hyderabad,Delhi,Shadowfax,0,2025-07-13 00:00:00,2025-07-13 22:00:00
SHP-97868,Humira (Adalimumab),Mumbai,Chennai,FedEx,0,2025-06-25 00:00:00,2025-06-26 06:00:00
SHP-23279,Insulin Glargine,Bangalore,Chennai,FedEx,0,2025-07-05 00:00:00,2025-07-06 11:00:00
SHP-81036,COVID-19 mRNA Vaccine,Mumbai,Chennai,Delhivery,0,2025-09-14 00:00:00,2025-09-16 20:00:00
SHP-78142,Humira (Adalimumab),Mumbai,Delhi,Shadowfax,0,2025-01-03 00:00:00,2025-01-04 18:00:00
SHP-32024,Insulin Glargine,Hyderabad,Delhi,Shadowfax,0,2025-06-17 00:00:00,2025-06-19 22:00:00
SHP-44532,Humira (Adalimumab),Mumbai,Mumbai ,Delhivery,0,2025-02-22 00:00:00,2025-02-23 20:00:00
SHP-49983,Insulin Glargine,Hyderabad,hyderabad,Delhivery,0,2025-02-12 00:00:00,2025-02-12 12:00:00
SHP-10053,COVID-19 mRNA Vaccine,Bangalore,bangalore,BlueDart,0,2025-10-11 00:00:00,2025-10-11 21:00:00
SHP-62992,Amoxicillin,Chennai,bangalore,Shadowfax,0,2025-06-03 00:00:00,2025-06-04 21:00:00
SHP-54498,Insulin Glargine,Hyderabad,Hyderabad,Shadowfax,0,04/06/2025 00:00,2025-06-04 12:00:00
SHP-38505,Humira (Adalimumab),Bangalore,Mumbai,Delhivery,0,2025-02-19 00:00:00,2025-02-20 15:00:00
SHP-85692,COVID-19 mRNA Vaccine,Chennai,Hyderabad ,DHL,0,2025-02-07 00:00:00,2025-02-09 07:00:00
SHP-77704,Insulin Glargine,Delhi,Hyderabad,DHL,0,10/01/2025 00:00,2025-01-12 11:00:00
SHP-87580,Humira (Adalimumab),Hyderabad,Bangalore,BlueDart,0,2025-05-28 00:00:00,2025-05-29 15:00:00
SHP-74053,Humira (Adalimumab),Hyderabad,Mumbai,DHL,0,2025-12-30 00:00:00,2025-12-31 19:00:00
SHP-37378,Humira (Adalimumab),Delhi,Delhi,,0,25/07/2025 00:00,2025-07-26 21:00:00
SHP-31867,Insulin Glargine,Delhi,Bangalore,DHL,0,2025-05-14 00:00:00,2025-05-14 18:00:00
SHP-19118,Insulin Glargine,Hyderabad,Delhi,FedEx,0,07/05/2025 00:00,2025-05-08 06:00:00
SHP-17898,Insulin Glargine,Delhi,Mumbai,BlueDart,0,2025-06-06 00:00:00,2025-06-08 03:00:00
SHP-10976,Amoxicillin,Mumbai,Hyderabad ,Delhivery,1,2025-06-05 00:00:00,2025-06-07 11:00:00
SHP-50813,Insulin Glargine,Chennai,Chennai,DHL,0,2025-09-26 00:00:00,2025-09-28 20:00:00
SHP-49717,Insulin Glargine,Chennai,Chennai ,FedEx,0,2025-11-02 00:00:00,2025-11-02 20:00:00
SHP-42950,Insulin Glargine,Chennai,Mumbai,DHL,0,2025-05-20 00:00:00,2025-05-21 01:00:00
SHP-29773,Amoxicillin,Mumbai,Chennai,FedEx,0,2025-01-25 00:00:00,2025-01-26 07:00:00
SHP-76628,Insulin Glargine,Delhi,Delhi,BlueDart,0,2025-07-26 00:00:00,2025-07-27 07:00:00
SHP-86538,Humira (Adalimumab),Bangalore,Chennai,DHL,0,2025-04-08 00:00:00,2025-04-08 22:00:00
SHP-55195,Insulin Glargine,Delhi,Mumbai,FedEx,0,2025-11-08 00:00:00,2025-11-10 01:00:00
SHP-21063,Humira (Adalimumab),Hyderabad,Mumbai,Shadowfax,0,09/01/2025 00:00,2025-01-09 13:00:00
SHP-40367,Humira (Adalimumab),Chennai,Delhi,Shadowfax,0,21/01/2025 00:00,2025-01-22 18:00:00
SHP-75156,Humira (Adalimumab),Delhi,Chennai,FedEx,0,2025-06-14 00:00:00,2025-06-14 14:00:00
SHP-62048,Amoxicillin,Bangalore,Chennai,DHL,0,2025-03-27 00:00:00,2025-03-27 22:00:00
SHP-16699,Amoxicillin,Hyderabad,hyderabad,DHL,1,2025-09-08 00:00:00,2025-09-09 16:00:00
SHP-20456,Amoxicillin,Mumbai,Bangalore ,BlueDart,0,2025-11-06 00:00:00,2025-11-08 15:00:00
SHP-22572,Insulin Glargine,Mumbai,Mumbai,BlueDart,0,18/05/2025 00:00,2025-05-19 11:00:00
SHP-15133,Humira (Adalimumab),Bangalore,Hyderabad,Delhivery,0,2025-11-01 00:00:00,2025-11-02 23:00:00
SHP-14745,Amoxicillin,Hyderabad,Mumbai,BlueDart,0,10/06/2025 00:00,2025-06-12 03:00:00
SHP-17587,Amoxicillin,Chennai,Hyderabad ,DHL,0,2025-08-20 00:00:00,2025-08-22 13:00:00
SHP-18221,Insulin Glargine,Delhi,Bangalore,Delhivery,0,2025-06-22 00:00:00,2025-06-23 00:00:00
SHP-41195,Amoxicillin,Hyderabad,Hyderabad,BlueDart,0,2025-04-15 00:00:00,2025-04-15 23:00:00
SHP-98666,Insulin Glargine,Mumbai,Mumbai,FedEx,0,2025-05-04 00:00:00,2025-05-06 09:00:00
SHP-87768,COVID-19 mRNA Vaccine,Bangalore,chennai,Shadowfax,0,29/06/2025 00:00,2025-07-01 01:00:00
SHP-95444,Amoxicillin,Bangalore,Mumbai ,BlueDart,0,17/06/2025 00:00,2025-06-19 19:00:00
SHP-31380,COVID-19 mRNA Vaccine,Delhi,Delhi ,BlueDart,0,2025-03-03 00:00:00,2025-03-05 12:00:00
SHP-39078,Insulin Glargine,Bangalore,Delhi,FedEx,0,2025-08-06 00:00:00,2025-08-08 12:00:00
SHP-81846,Humira (Adalimumab),Bangalore,Delhi ,DHL,0,2025-07-22 00:00:00,2025-07-24 11:00:00
SHP-88460,Amoxicillin,Hyderabad,delhi,FedEx,0,2025-10-11 00:00:00,2025-10-12 12:00:00
SHP-52291,Insulin Glargine,Chennai,Bangalore,BlueDart,0,2025-01-02 00:00:00,2025-01-02 21:00:00
SHP-34876,Humira (Adalimumab),Delhi,Chennai,DHL,0,2025-02-23 00:00:00,2025-02-24 23:00:00
SHP-46598,Humira (Adalimumab),Hyderabad,Chennai,,0,2025-02-07 00:00:00,2025-02-08 06:00:00
SHP-63750,COVID-19 mRNA Vaccine,Chennai,Mumbai,BlueDart,0,12/08/2025 00:00,2025-08-15 00:00:00
SHP-71878,Insulin Glargine,Hyderabad,Hyderabad,,0,2025-05-15 00:00:00,2025-05-16 10:00:00
SHP-68867,Humira (Adalimumab),Hyderabad,Mumbai,Delhivery,0,07/12/2025 00:00,2025-12-09 20:00:00
SHP-97817,Amoxicillin,Bangalore,Mumbai,Shadowfax,0,2025-12-03 00:00:00,2025-12-05 23:00:00
SHP-91942,Amoxicillin,Chennai,Mumbai,Delhivery,0,16/03/2025 00:00,2025-03-18 23:00:00
SHP-35884,COVID-19 mRNA Vaccine,Delhi,Mumbai,FedEx,0,11/08/2025 00:00,2025-08-13 10:00:00
SHP-26946,Humira (Adalimumab),Delhi,Chennai,Delhivery,0,2025-01-04 00:00:00,2025-01-04 19:00:00
SHP-91887,Insulin Glargine,Chennai,Hyderabad,FedEx,0,2025-04-08 00:00:00,2025-04-10 05:00:00
SHP-13067,Amoxicillin,Bangalore,Mumbai,BlueDart,0,2025-05-14 00:00:00,2025-05-16 17:00:00
SHP-60848,Humira (Adalimumab),Mumbai,Chennai,DHL,0,2025-09-06 00:00:00,2025-09-06 23:00:00
SHP-36835,Humira (Adalimumab),Hyderabad,Mumbai,Shadowfax,0,02/09/2025 00:00,2025-09-03 00:00:00
SHP-51935,COVID-19 mRNA Vaccine,Bangalore,delhi,,0,28/08/2025 00:00,2025-08-29 02:00:00
SHP-48502,Amoxicillin,Chennai,mumbai,DHL,1,2025-08-16 00:00:00,2025-08-18 13:00:00
SHP-44677,Amoxicillin,Hyderabad,Mumbai,DHL,0,2025-10-24 00:00:00,2025-10-25 21:00:00
SHP-24293,Insulin Glargine,Delhi,Bangalore,FedEx,0,06/02/2025 00:00,2025-02-07 06:00:00
SHP-63290,Amoxicillin,Mumbai,Delhi ,FedEx,0,2025-06-22 00:00:00,2025-06-22 14:00:00
SHP-37144,Insulin Glargine,Delhi,Hyderabad,Shadowfax,0,2025-12-31 00:00:00,2026-01-02 01:00:00
SHP-31200,Amoxicillin,Chennai,Mumbai,FedEx,0,2025-03-11 00:00:00,2025-03-12 06:00:00
SHP-72538,COVID-19 mRNA Vaccine,Hyderabad,Hyderabad,FedEx,0,2025-06-27 00:00:00,2025-06-29 06:00:00
SHP-16445,Amoxicillin,Chennai,Delhi,,0,2025-09-04 00:00:00,2025-09-06 13:00:00
SHP-81347,Insulin Glargine,Hyderabad,Mumbai,FedEx,0,10/05/2025 00:00,2025-05-12 03:00:00
SHP-56520,Insulin Glargine,Bangalore,Bangalore,BlueDart,0,2025-12-02 00:00:00,2025-12-03 06:00:00
SHP-34570,COVID-19 mRNA Vaccine,Mumbai,Chennai,Shadowfax,0,27/01/2025 00:00,2025-01-28 03:00:00
SHP-66002,Amoxicillin,Bangalore,Bangalore,FedEx,0,2025-11-25 00:00:00,2025-11-26 10:00:00
SHP-80193,Amoxicillin,Bangalore,bangalore,Shadowfax,0,21/12/2025 00:00,2025-12-22 01:00:00
SHP-39319,COVID-19 mRNA Vaccine,Chennai,Chennai,Delhivery,0,2025-11-10 00:00:00,2025-11-12 16:00:00
SHP-34424,Amoxicillin,Mumbai,Chennai ,BlueDart,0,05/10/2025 00:00,2025-10-07 19:00:00
SHP-20749,Amoxicillin,Hyderabad,Chennai,FedEx,0,23/08/2025 00:00,2025-08-23 12:00:00
SHP-90939,Insulin Glargine,Hyderabad,Mumbai,BlueDart,0,18/11/2025 00:00,2025-11-18 23:00:00
SHP-93528,Amoxicillin,Delhi,Hyderabad ,BlueDart,0,2025-06-08 00:00:00,2025-06-10 18:00:00
SHP-48656,Amoxicillin,Hyderabad,Hyderabad,,0,2025-01-30 00:00:00,2025-01-30 16:00:00
SHP-23868,COVID-19 mRNA Vaccine,Chennai,Chennai,Shadowfax,1,2025-04-17 00:00:00,2025-04-17 22:00:00
SHP-58586,COVID-19 mRNA Vaccine,Bangalore,Bangalore,BlueDart,0,26/08/2025 00:00,2025-08-26 19:00:00
SHP-54704,Humira (Adalimumab),Bangalore,delhi,DHL,0,2025-01-02 00:00:00,2025-01-03 20:00:00
SHP-32367,Insulin Glargine,Bangalore,Chennai ,Delhivery,0,2025-01-27 00:00:00,2025-01-27 19:00:00
SHP-16630,Amoxicillin,Mumbai,Bangalore,DHL,0,2025-11-01 00:00:00,2025-11-03 13:00:00
SHP-95062,Amoxicillin,Hyderabad,Bangalore,Delhivery,0,29/06/2025 00:00,2025-06-29 13:00:00
SHP-77628,Humira (Adalimumab),Chennai,mumbai,DHL,0,2025-10-14 00:00:00,2025-10-15 07:00:00
SHP-91141,Amoxicillin,Mumbai,Mumbai,DHL,0,2025-12-28 00:00:00,2025-12-29 00:00:00
SHP-44825,Insulin Glargine,Delhi,Hyderabad,BlueDart,0,2025-01-07 00:00:00,2025-01-08 23:00:00
SHP-28000,Humira (Adalimumab),Chennai,Hyderabad,BlueDart,0,03/10/2025 00:00,2025-10-05 15:00:00
SHP-67872,Insulin Glargine,Chennai,Delhi ,Delhivery,0,2025-07-21 00:00:00,2025-07-22 17:00:00
SHP-57825,Humira (Adalimumab),Chennai,Delhi ,Shadowfax,0,2025-11-30 00:00:00,2025-12-01 05:00:00
SHP-50978,Humira (Adalimumab),Bangalore,Delhi,BlueDart,0,2025-09-09 00:00:00,2025-09-10 02:00:00
SHP-24037,COVID-19 mRNA Vaccine,Chennai,Delhi,BlueDart,0,2025-05-18 00:00:00,2025-05-18 14:00:00
SHP-29080,Insulin Glargine,Hyderabad,Bangalore,FedEx,0,2025-08-20 00:00:00,2025-08-21 07:00:00
SHP-14723,Amoxicillin,Chennai,Bangalore,BlueDart,0,2025-07-26 00:00:00,2025-07-27 06:00:00
SHP-68901,Amoxicillin,Bangalore,Hyderabad ,Shadowfax,0,2025-01-24 00:00:00,2025-01-25 08:00:00
SHP-65778,Insulin Glargine,Chennai,mumbai,FedEx,0,2025-06-13 00:00:00,2025-06-16 00:00:00
SHP-41322,Amoxicillin,Delhi,Mumbai ,DHL,1,17/08/2025 00:00,2025-08-18 15:00:00
SHP-90125,Amoxicillin,Delhi,Chennai,DHL,0,2025-08-17 00:00:00,2025-08-18 20:00:00
SHP-68010,Insulin Glargine,Bangalore,Bangalore,FedEx,0,07/09/2025 00:00,2025-09-08 19:00:00
SHP-87766,Humira (Adalimumab),Hyderabad,Delhi,FedEx,0,30/06/2025 00:00,2025-06-30 14:00:00
SHP-87543,Insulin Glargine,Hyderabad,Delhi,FedEx,0,2025-01-06 00:00:00,2025-01-08 10:00:00
SHP-56145,Humira (Adalimumab),Mumbai,chennai,Delhivery,0,16/12/2025 00:00,2025-12-17 16:00:00
SHP-87494,Amoxicillin,Bangalore,Mumbai ,Shadowfax,0,2025-01-11 00:00:00,2025-01-12 08:00:00
SHP-27883,Amoxicillin,Chennai,Delhi,Shadowfax,0,2025-06-23 00:00:00,2025-06-24 18:00:00
SHP-58209,Amoxicillin,Bangalore,Mumbai,DHL,0,2025-04-19 00:00:00,2025-04-20 10:00:00
SHP-47918,COVID-19 mRNA Vaccine,Mumbai,chennai,DHL,0,2025-07-08 00:00:00,2025-07-08 15:00:00
